budget,id,original_title,popularity,release_date,revenue,title,vote_average,vote_count,Collection,genres,ProdCompany_1,ProdCompany_2,ProdCompany_3,release_year,return
1300000.0,103,Taxi Driver,14.092713,1976-02-07,28262574.0,Taxi Driver,8.1,2632.0,,"['Crime', 'Drama']",Columbia Pictures Corporation,Italo/Judeo Productions,Bill/Phillips,1976,21.74044153846154
0.0,649,Belle de jour,10.142662,1967-05-24,0.0,Belle de Jour,7.3,163.0,,"['Drama', 'Romance']",Paris Films Productions,Five Films,Robert et Raymond Hakim,1967,0.0
0.0,5967,Les parapluies de Cherbourg,8.133881,1964-02-19,0.0,The Umbrellas of Cherbourg,7.6,119.0,,"['Drama', 'Romance']",Beta Film,Madeleine Films,Parc Film,1964,0.0
11000000.0,11,Star Wars,42.149697,1977-05-25,775398007.0,Star Wars,8.1,6778.0,Star Wars Collection,"['Adventure', 'Action', 'Science Fiction']",Lucasfilm,Twentieth Century Fox Film Corporation,,1977,70.49072790909091
45000.0,315,"Faster, Pussycat! Kill! Kill!",4.220541,1965-08-06,0.0,"Faster, Pussycat! Kill! Kill!",6.5,59.0,,"['Action', 'Crime']",Eve Productions Inc.,,,1965,0.0
0.0,5879,愛のコリーダ,8.932494,1976-05-15,0.0,In the Realm of the Senses,6.5,112.0,,"['Drama', 'Romance']",Argos Films,Oshima Productions,Shibata Organisation,1976,0.0
28000000.0,78,Blade Runner,96.272374,1982-06-25,33139618.0,Blade Runner,7.9,3833.0,Blade Runner Collection,"['Science Fiction', 'Drama', 'Thriller']",Shaw Brothers,Warner Bros.,The Ladd Company,1982,1.1835577857142856
0.0,33367,Harem,1.825468,1985-11-20,0.0,Harem,4.0,4.0,,"['History', 'Drama', 'Romance']",,,,1985,0.0
18000000.0,771,Home Alone,0.702543,1990-11-09,476684675.0,Home Alone,7.1,2487.0,Home Alone Collection,"['Comedy', 'Family']",Twentieth Century Fox Film Corporation,Hughes Entertainment,,1990,26.482481944444444
22000000.0,251,Ghost,11.945397,1990-07-12,505000000.0,Ghost,6.9,1381.0,,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",Paramount Pictures,,,1990,22.954545454545453
22000000.0,581,Dances with Wolves,11.654349,1990-11-09,424208848.0,Dances with Wolves,7.6,1084.0,,"['Adventure', 'Drama', 'Western']",Tig Productions,Majestic Films International,,1990,19.282220363636362
35000000.0,268,Batman,19.10673,1989-06-23,411348924.0,Batman,7.0,2145.0,Batman Collection,"['Fantasy', 'Action']",PolyGram Filmed Entertainment,The Guber-Peters Company,Warner Bros.,1989,11.7528264
1488423.0,408,Snow White and the Seven Dwarfs,16.263878,1937-12-20,184925486.0,Snow White and the Seven Dwarfs,6.9,1973.0,,"['Fantasy', 'Animation', 'Family']",Walt Disney Productions,,,1937,124.24256142239135
2600000.0,10895,Pinocchio,14.202284,1940-02-23,84300000.0,Pinocchio,6.9,1412.0,,"['Animation', 'Family']",RKO Radio Pictures,Walt Disney Productions,,1940,32.42307692307692
14000000.0,114,Pretty Woman,13.348451,1990-03-23,463000000.0,Pretty Woman,7.0,1807.0,,"['Romance', 'Comedy']",Touchstone Pictures,Silver Screen Partners IV,,1990,33.07142857142857
6244087.0,576,The Wild Bunch,11.722424,1969-06-17,638641.0,The Wild Bunch,7.7,266.0,,"['Adventure', 'Western']",Warner Brothers/Seven Arts,,,1969,0.10227932442325034
9300000.0,11827,Heavy Metal,7.640073,1981-08-07,0.0,Heavy Metal,6.3,150.0,Heavy Metal Collection,"['Animation', 'Science Fiction']",Canadian Film Development Corporation (CFDC),,,1981,0.0
0.0,51242,Pane e cioccolata,1.306628,1974-05-05,0.0,Bread and Chocolate,7.1,10.0,,"['Comedy', 'Foreign']",,,,1974,0.0
4000000.0,10112,The Aristocats,9.834047,1970-12-23,55675257.0,The Aristocats,7.1,1287.0,,"['Animation', 'Comedy', 'Family', 'Adventure']",Walt Disney Productions,,,1970,13.91881425
0.0,44281,Asfour Stah,1.983301,1990-01-01,0.0,Halfaouine: Boy of the Terraces,7.4,5.0,,"['Comedy', 'Drama']",Cinétéléfilms,France Média,Les Films du Scarabée,1990,0.0
0.0,10363,Plein soleil,3.804493,1960-03-10,0.0,Purple Noon,7.3,73.0,,"['Crime', 'Drama', 'Thriller']",Titanus,Paris Film,Robert et Raymond Hakim,1960,0.0
0.0,5801,পথের পাঁচালী,3.900709,1955-08-26,536364.0,Pather Panchali,7.9,63.0,The Apu Collection,['Drama'],Government of West Bengal,,,1955,0.0
0.0,896,অপুর সংসার,2.381806,1959-05-01,16000.0,The World of Apu,8.2,40.0,The Apu Collection,['Drama'],Satyajit Ray Productions,,,1959,0.0
9000000.0,8069,Barbarella,14.304205,1968-10-10,2500000.0,Barbarella,5.7,149.0,,['Science Fiction'],Paramount Pictures,Dino de Laurentiis Cinematografica,Marianne Productions,1968,0.2777777777777778
220000.0,8072,"Alphaville, une étrange aventure de Lemmy Caution",4.658149,1965-05-05,0.0,Alphaville,6.8,100.0,Lemmy Caution Collection,"['Drama', 'Science Fiction', 'Mystery']",Filmstudio,Athos Films,Chaumiane,1965,0.0
0.0,35797,Coup de torchon,2.272213,1981-11-04,0.0,Coup de Torchon,6.8,21.0,,['Drama'],Films A2,Les Films de la Tour,Little Bear,1981,0.0
0.0,83857,Windows,0.400023,1980-01-18,0.0,Windows,5.8,9.0,,"['Horror', 'Drama', 'Thriller']",Mike Lobell Productions,,,1980,0.0
275000.0,753,Faces,7.918418,1968-11-24,0.0,Faces,7.1,36.0,,['Drama'],Maurice McEndree Productions,Walter Reade Organization Inc.,Faces International Films,1968,0.0
31000000.0,12233,Oliver & Company,10.813579,1988-11-18,74151346.0,Oliver & Company,6.5,372.0,,"['Animation', 'Comedy', 'Family']",Walt Disney Pictures,Silver Screen Partners III,,1988,2.3919789032258065
0.0,52633,Switchblade Sisters,6.035166,1975-01-05,0.0,Switchblade Sisters,6.6,27.0,,"['Action', 'Crime', 'Drama']",Centaur Pictures Inc.,,,1975,0.0
0.0,26744,Force of Evil,4.386329,1948-12-25,0.0,Force of Evil,6.6,33.0,,"['Drama', 'Action', 'Crime']",Enterprise Productions,Roberts Pictures Inc.,,1948,0.0
0.0,245268,The Man from Down Under,0.068254,1943-08-04,0.0,The Man from Down Under,0.0,0.0,,"['Drama', 'War']",Metro-Goldwyn-Mayer (MGM),,,1943,0.0
1800000.0,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9.80398,1964-01-29,9440272.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0,1472.0,,"['Drama', 'Comedy', 'War']",Hawk Films,Columbia Pictures Corporation,,1964,5.244595555555556
0.0,110465,Kim,1.048075,1950-12-07,0.0,Kim,7.0,5.0,,"['Family', 'Adventure']",Metro-Goldwyn-Mayer (MGM),,,1950,0.0
0.0,202425,La vie est belle,0.514363,1987-11-17,0.0,Life is Rosy,6.5,2.0,,"['Music', 'Romance']",Stéphan Films,Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,Sol'oeil Films,1987,0.0
0.0,77771,Touki-Bouki,0.043903,1973-07-01,0.0,Touki Bouki,7.3,10.0,"Martin Scorsese’s World Cinema Project, Vol. 1","['Drama', 'Romance']",Studio Kankourama,Cinegrit,,1973,0.0
0.0,181083,Wend Kuuni,0.049573,1982-01-01,0.0,God's Gift,5.0,1.0,,['Drama'],Direction du Cinema Haute Volta,,,1982,0.0
0.0,41225,Histoires extraordinaires,1.794298,1968-05-16,0.0,Spirits of the Dead,5.5,24.0,,"['Drama', 'Mystery', 'Horror']",Cocinor,Les Films Marceau,Produzioni Europee Associati (PEA),1968,0.0
0.0,123763,"Yo, la peor de todas",0.202495,1990-08-09,0.0,"I, the Worst of All",6.8,3.0,,"['Drama', 'Foreign']",GEA Cinematográfica,,,1990,0.0
0.0,42005,"Hol volt, hol nem volt",0.043125,1987-01-01,0.0,A Hungarian Fairy Tale,0.0,0.0,,,,,,1987,0.0
0.0,44495,A Very Natural Thing,0.147662,1974-01-01,0.0,A Very Natural Thing,6.3,3.0,,['Drama'],,,,1974,0.0
0.0,35206,La mort en ce jardin,1.116063,1956-09-21,0.0,Death in the Garden,7.4,8.0,,"['Adventure', 'Drama']",Producciones Tepeyac,Dismage,,1956,0.0
0.0,4837,La Collectionneuse,1.683348,1967-03-02,0.0,La Collectionneuse,6.5,25.0,,"['Drama', 'Comedy', 'Romance']",Rome Paris Films,Les Films du Losange,,1967,0.0
0.0,31417,Les Yeux sans visage,9.935891,1960-01-11,0.0,Eyes Without a Face,7.5,130.0,,"['Drama', 'Horror', 'Thriller']",Lux Film,Champs-Élysées Productions,,1960,0.0
0.0,116690,楢山節考,0.969254,1958-06-01,0.0,The Ballad of Narayama,6.4,12.0,,['Drama'],Shochiku Company,,,1958,0.0
0.0,213917,Un week-end sur deux,0.629807,1990-08-28,0.0,Every Other Weekend,6.0,2.0,,['Drama'],MK2 Production,,,1990,0.0
